"","Region","Confirmed","Day_Confirmed","Date","Cumulative_tests","Day_test"
"454","CA",12026,1325,"20200404",113700,78400
"455","CO",4173,445,"20200404",22071,1660
"456","CT",5276,362,"20200404",22029,2014
"457","DC",902,145,"20200404",6438,854
"458","DE",593,143,"20200404",6467,1022
"459","FL",11111,1526,"20200404",102067,10345
"460","GA",6160,329,"20200404",26294,1029
"461","GU",93,9,"20200404",565,22
"462","HI",319,34,"20200404",12278,1787
"463","IA",786,87,"20200404",10240,787
"464","ID",1013,122,"20200404",8870,925
"465","IL",10357,1453,"20200404",53581,5533
"466","IN",3953,516,"20200404",19800,1965
"467","KS",698,78,"20200404",7578,504
"468","KY",831,61,"20200404",15572,2768
"469","LA",12496,2199,"20200404",58498,4853
"470","MA",11736,1334,"20200404",68800,5838
"471","MD",3125,367,"20200404",25610,1920
"472","ME",456,24,"20200404",6544,24
"473","MI",16395,1143,"20200404",53800,4878
"474","MN",865,76,"20200404",25423,1196
"475","MO",2291,178,"20200404",24905,3435
"476","MP",8,0,"20200404",21,0
"477","MS",1455,97,"20200404",6588,477
"478","MT",265,22,"20200404",6177,601
"479","NC",2402,309,"20200404",38773,7175
"480","ND",186,13,"20200404",6207,409
"481","NE",321,42,"20200404",5379,613
"482","NH",540,61,"20200404",7505,451
"483","NJ",34124,4229,"20200404",75356,7853
"484","NM",495,92,"20200404",15632,854
"485","NV",1742,228,"20200404",16163,1631
"486","NY",113704,10841,"20200404",283621,23101
"487","OH",3739,427,"20200404",41871,3496
"488","OK",1159,171,"20200404",2521,218
"489","OR",999,100,"20200404",17534,100
"490","PA",10017,1597,"20200404",70030,7915
"491","PR",452,74,"20200404",3057,630
"492","RI",806,97,"20200404",6390,824
"493","SC",1917,363,"20200404",18314,11319
"494","SD",212,25,"20200404",5224,444
"495","TN",3321,254,"20200404",41391,3552
"496","TX",6110,780,"20200404",63751,7987
"497","UT",1428,182,"20200404",28043,3795
"498","VA",2407,395,"20200404",21552,2547
"499","VI",40,2,"20200404",224,32
"500","VT",461,72,"20200404",5844,616
"501","WA",7934,386,"20200404",83567,3186
"502","WI",2112,200,"20200404",25971,1682
"503","WV",282,45,"20200404",7686,1319
"504","WY",187,25,"20200404",3132,266
"505","AK",157,14,"20200403",6016,994
"506","AL",1432,199,"20200403",9619,883
"507","AR",704,61,"20200403",9699,1176
"508","AS",0,0,"20200403",3,0
"509","AZ",1769,171,"20200403",24673,1964
"510","CA",10701,1510,"20200403",35300,2300
"511","CO",3728,386,"20200403",20411,1766
"512","CT",4914,1090,"20200403",20015,1715
"513","DC",757,104,"20200403",5584,514
"514","DE",450,57,"20200403",5445,486
"515","FL",9585,1575,"20200403",91722,14426
"516","GA",5831,483,"20200403",25265,2308
"517","GU",84,2,"20200403",543,19
"518","HI",285,27,"20200403",10491,27
"519","IA",699,85,"20200403",9453,785
"520","ID",891,222,"20200403",7945,663
"521","IL",8904,1209,"20200403",48048,4392
"522","IN",3437,398,"20200403",17835,1550
"523","KS",620,68,"20200403",7074,463
"524","KY",770,90,"20200403",12804,4904
"525","LA",10297,1147,"20200403",53645,2559
"526","MA",10402,1436,"20200403",62962,6354
"527","MD",2758,427,"20200403",23690,2469
"528","ME",432,56,"20200403",6520,56
"529","MI",15252,1135,"20200403",48922,4437
"530","MN",789,47,"20200403",24227,1833
"531","MO",2113,279,"20200403",21470,1787
"532","MP",8,0,"20200403",21,0
"533","MS",1358,181,"20200403",6111,181
"534","MT",243,16,"20200403",5576,256
"535","NC",2093,236,"20200403",31598,2919
"536","ND",173,14,"20200403",5798,818
"537","NE",279,33,"20200403",4766,542
"538","NH",479,64,"20200403",7054,561
"539","NJ",29895,4305,"20200403",67503,8393
"540","NM",403,40,"20200403",14778,767
"541","NV",1514,56,"20200403",14532,486
"542","NY",102863,10482,"20200403",260520,21555
"543","OH",3312,410,"20200403",38375,3457
"544","OK",988,109,"20200403",2303,159
"545","OR",899,73,"20200403",17434,1349
"546","PA",8420,1404,"20200403",62115,7401
"547","PR",378,62,"20200403",2427,507
"548","RI",709,52,"20200403",5566,497
"549","SC",1554,0,"20200403",6995,0
"550","SD",187,22,"20200403",4780,398
"551","TN",3067,222,"20200403",37839,3228
"552","TX",5330,661,"20200403",55764,5085
"553","UT",1246,172,"20200403",24248,3019
"554","VA",2012,306,"20200403",19005,1416
"555","VI",38,5,"20200403",192,10
"556","VT",389,51,"20200403",5228,179
"557","WA",7548,586,"20200403",80381,4605
"558","WI",1912,182,"20200403",24289,2242
"559","WV",237,20,"20200403",6367,874
"560","WY",162,12,"20200403",2866,277
"561","AK",143,10,"20200402",5022,419
"562","AL",1233,156,"20200402",8736,962
"563","AR",643,59,"20200402",8523,585
"564","AS",0,0,"20200402",3,0
"565","AZ",1598,185,"20200402",22709,1651
"566","CA",9191,1036,"20200402",33000,3073
"567","CO",3342,376,"20200402",18645,1796
"568","CT",3824,267,"20200402",18300,1700
"569","DC",653,67,"20200402",5070,1222
"570","DE",393,25,"20200402",4959,576
"571","FL",8010,1055,"20200402",77296,10812
"572","GA",5348,710,"20200402",22957,2631
"573","GU",82,5,"20200402",524,41
"574","HI",258,50,"20200402",10464,1535
"575","IA",614,65,"20200402",8668,815
"576","ID",669,144,"20200402",7282,681
"577","IL",7695,715,"20200402",43656,3272
"578","IN",3039,474,"20200402",16285,1910
"579","KS",552,70,"20200402",6611,718
"580","KY",680,89,"20200402",7900,344
"581","LA",9150,2726,"20200402",51086,5310
